Serving Size,Saturated Fat,Sodium
4.8 oz (136 g),0.0943396,0.208333
4.8 oz (135 g),0.0566038,0.213889
3.9 oz (111 g),0.150943,0.216667
5.7 oz (161 g),0.188679,0.238889
5.7 oz (161 g),0.150943,0.244444
6.5 oz (185 g),0.169811,0.266667
 Egg & Cheese Biscuit (Regular Biscuit)",0.754717,0.0230556
 Egg & Cheese Biscuit (Large Biscuit)",0.886792,0.0230556
 Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",0.603774,0.00305556
 Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",0.716981,0.00305556
4.1 oz (117 g),0.226415,0.3
4.6 oz (131 g),0.245283,0.330556
5.7 oz (163 g),0.264151,0.325
6.2 oz (177 g),0.283019,0.355556
5.9 oz (167 g),0.226415,0.327778
6.4 oz (181 g),0.245283,0.358333
5 oz (143 g),0.150943,0.327778
5.5 oz (157 g),0.169811,0.358333
7.1 oz (201 g),0.301887,0.408333
 Egg & Cheese McGriddles",0.603774,0.0233333
 Egg & Cheese McGriddles with Egg Whites",0.45283,0.00305556
5 oz (141 g),0.150943,0.286111
 Egg & Cheese McGriddles",0.90566,0.0247222
 Egg & Cheese McGriddles with Egg Whites",0.754717,0.00472222
 Egg & Cheese Bagel",0.90566,0.0255556
 Egg & Cheese Bagel with Egg Whites",0.735849,0.00555556
 Egg & Cheese Bagel",1,0.0275
9.5 oz (269 g),0.320755,0.433333
10 oz (283 g),0.339623,0.466667
9.6 oz (272 g),0.264151,0.441667
10.1 oz (286 g),0.264151,0.472222
14.8 oz (420 g),0.358491,0.597222
15.3 oz (434 g),0.377358,0.627778
14.9 oz (423 g),0.301887,0.602778
15.4 oz (437 g),0.301887,0.636111
5.3 oz (151 g),0.0377358,0.163889
6.8 oz (192 g),0.132075,0.258333
3.9 oz (111 g),0.132075,0.219444
2 oz (56 g),0.0283019,0.0861111
4 oz (114 g),0.169811,0.102778
9.6 oz (251 g),0.0283019,0.0444444
9.6 oz (251 g),0.0283019,0.0319444
7.4 oz (211 g),0.188679,0.266667
7.1 oz (202 g),0.226415,0.305556
8 oz (227 g),0.245283,0.4
8.3 oz (235 g),0.245283,0.327778
8.6 oz (244 g),0.207547,0.266667
10 oz (283 g),0.358491,0.355556
3.5 oz (98 g),0.0566038,0.133333
4 oz (113 g),0.0943396,0.188889
5.7 oz (161 g),0.188679,0.288889
9.5 oz (270 g),0.283019,0.408333
5.2 oz (147 g),0.150943,0.233333
5.7 oz (161 g),0.188679,0.308333
6.7 oz (190 g),0.169811,0.211111
5.6 oz (159 g),0.169811,0.286111
7.3 oz (208 g),0.188679,0.272222
7.5 oz (213 g),0.0660377,0.275
7 oz (200 g),0.0377358,0.227778
8.8 oz (249 g),0.169811,0.391667
8.3 oz (235 g),0.132075,0.347222
8.1 oz (230 g),0.113208,0.388889
7.6 oz (217 g),0.0849057,0.341667
10 oz (284 g),0.188679,0.477778
9.5 oz (270 g),0.150943,0.433333
5.6 oz (160 g),0.0566038,0.252778
5.1 oz (143 g),0.0566038,0.222222
6 oz (171 g),0.132075,0.35
5.7 oz (161 g),0.0943396,0.35
5.2 oz (148 g),0.0566038,0.275
11.1 oz (316 g),0.169811,0.427778
10.7 oz (302 g),0.132075,0.380556
10.9 oz (310 g),0.150943,0.372222
10.5 oz (297 g),0.113208,0.325
11.1 oz (314 g),0.150943,0.411111
11.2 oz (318 g),0.113208,0.366667
10.7 oz (304 g),0.0849057,0.35
10.3 oz (291 g),0.0566038,0.302778
2.3 oz (65 g),0.0377358,0.1
3.4 oz (97 g),0.0566038,0.15
5.7 oz (162 g),0.0943396,0.25
11.4 oz (323 g),0.188679,0.5
22.8 oz (646 g),0.377358,1
5 oz (142 g),0.0754717,0.163889
7.9 oz (223 g),0.0660377,0.0833333
9 oz (255 g),0.113208,0.238889
8.5 oz (241 g),0.0754717,0.191667
8.1 oz (230 g),0.0377358,0.0416667
12.3 oz (348 g),0.0849057,0.236111
11.8 oz (335 g),0.0471698,0.188889
4.6 oz (130 g),0.0849057,0.216667
4.3 oz (123 g),0.0660377,0.194444
4.3 oz (123 g),0.0849057,0.202778
4.1 oz (116 g),0.0660377,0.180556
4.5 oz (128 g),0.0943396,0.225
4.3 oz (121 g),0.0849057,0.2
2.6 oz (75 g),0.0283019,0.0361111
3.9 oz (111 g),0.0471698,0.0527778
5.9 oz (168 g),0.0660377,0.0805556
1.3 oz (38 g),0.0188679,0.0180556
3.1 oz (87 g),0,0.00277778
1.2 oz (34 g),0,0
5.2 oz (149 g),0.0188679,0.0194444
2.7 oz (77 g),0.132075,0.0472222
1 cookie (33 g),0.0660377,0.025
1 cookie (33 g),0.0471698,0.0375
1 oz (29 g),0.0188679,0.00555556
6.3 oz (179 g),0.132075,0.0472222
6.4 oz (182 g),0.0943396,0.0416667
6.3 oz (178 g),0.0754717,0.0236111
16 fl oz cup,0,0
21 fl oz cup,0,0.00138889
30 fl oz cup,0,0.00138889
12 fl oz cup,0,0
16 fl oz cup,0,0.00277778
21 fl oz cup,0,0.00555556
30 fl oz cup,0,0.00972222
12 fl oz cup,0,0.00416667
16 fl oz cup,0,0.0125
21 fl oz cup,0,0.0180556
30 fl oz cup,0,0.025
12 fl oz cup,0,0.00833333
16 fl oz cup,0,0.0194444
21 fl oz cup,0,0.0277778
30 fl oz cup,0,0.0388889
12 fl oz cup,0,0.0138889
16 fl oz cup,0,0.00833333
21 fl oz cup,0,0.0125
30 fl oz cup,0,0.0166667
12 fl oz cup,0,0.00694444
1 carton (236 ml),0.0283019,0.0347222
1 carton (236 ml),0,0.0375
6 fl oz (177 ml),0,0.00416667
12 fl oz cup,0,0
16 fl oz cup,0,0
22 fl oz cup,0,0.00138889
16.9 fl oz,0,0
16 fl oz cup,0,0.00277778
21 fl oz cup,0,0.00277778
30 fl oz cup,0,0.00416667
12 fl oz cup,0,0.00138889
16 fl oz cup,0,0.00277778
21 fl oz cup,0,0.00277778
30 fl oz cup,0,0.00277778
12 fl oz cup,0,0.00138889
12 fl oz cup,0,0
16 fl oz cup,0,0
16 fl oz cup,0,0
12 fl oz cup,0.0943396,0.0319444
16 fl oz cup,0.113208,0.0388889
20 fl oz cup,0.150943,0.05
12 fl oz cup,0.0943396,0.0319444
16 fl oz cup,0.113208,0.0388889
20 fl oz cup,0.150943,0.05
12 fl oz cup,0.0943396,0.0319444
16 fl oz cup,0.113208,0.0388889
20 fl oz cup,0.150943,0.05
12 fl oz cup,0.0943396,0.0319444
16 fl oz cup,0.113208,0.0388889
20 fl oz cup,0.150943,0.0527778
12 fl oz cup,0.0943396,0.0416667
16 fl oz cup,0.113208,0.0527778
20 fl oz cup,0.150943,0.0666667
12 fl oz cup,0,0.0305556
16 fl oz cup,0,0.0375
20 fl oz cup,0,0.05
12 fl oz cup,0,0.0305556
16 fl oz cup,0,0.0375
20 fl oz cup,0,0.05
12 fl oz cup,0,0.0305556
16 fl oz cup,0,0.0375
20 fl oz cup,0,0.05
12 fl oz cup,0,0.0319444
16 fl oz cup,0,0.0388889
20 fl oz cup,0,0.05
12 fl oz cup,0,0.0416667
16 fl oz cup,0,0.05
20 fl oz cup,0,0.0666667
12 fl oz cup,0.132075,0.0416667
16 fl oz cup,0.150943,0.0527778
20 fl oz cup,0.188679,0.0666667
12 fl oz cup,0.0377358,0.0416667
16 fl oz cup,0.0377358,0.0527778
20 fl oz cup,0.0471698,0.0666667
12 fl oz cup,0.132075,0.0472222
16 fl oz cup,0.150943,0.0611111
20 fl oz cup,0.188679,0.075
12 fl oz cup,0.0377358,0.0472222
16 fl oz cup,0.0377358,0.0583333
20 fl oz cup,0.0471698,0.075
12 fl oz cup,0.150943,0.05
16 fl oz cup,0.169811,0.0611111
20 fl oz cup,0.226415,0.0777778
12 fl oz cup,0.0377358,0.05
16 fl oz cup,0.0377358,0.0611111
20 fl oz cup,0.0471698,0.0777778
16 fl oz cup,0.0566038,0.00972222
22 fl oz cup,0.0849057,0.0138889
32 fl oz cup,0.113208,0.0208333
16 fl oz cup,0.0566038,0.00972222
22 fl oz cup,0.0849057,0.0138889
32 fl oz cup,0.113208,0.0180556
16 fl oz cup,0.0566038,0.00972222
22 fl oz cup,0.0849057,0.0138889
32 fl oz cup,0.113208,0.0208333
16 fl oz cup,0.0566038,0.0111111
22 fl oz cup,0.0849057,0.0152778
32 fl oz cup,0.113208,0.0222222
16 fl oz cup,0.0566038,0.0180556
22 fl oz cup,0.0849057,0.025
32 fl oz cup,0.113208,0.0375
12 fl oz cup,0.132075,0.0347222
16 fl oz cup,0.150943,0.0416667
22 fl oz cup,0.188679,0.0611111
12 fl oz cup,0.0566038,0.0347222
16 fl oz cup,0.0660377,0.0416667
22 fl oz cup,0.0660377,0.0611111
12 fl oz cup,0.132075,0.0388889
16 fl oz cup,0.132075,0.0472222
22 fl oz cup,0.188679,0.0694444
12 fl oz cup,0.0566038,0.0388889
16 fl oz cup,0.0566038,0.0472222
22 fl oz cup,0.0660377,0.0694444
12 fl oz cup,0.226415,0.0347222
16 fl oz cup,0.264151,0.0444444
22 fl oz cup,0.320755,0.0527778
12 fl oz cup,0.226415,0.0347222
16 fl oz cup,0.283019,0.0444444
22 fl oz cup,0.320755,0.0527778
12 fl oz cup,0.264151,0.0375
16 fl oz cup,0.320755,0.0444444
22 fl oz cup,0.377358,0.0555556
12 fl oz cup,0,0.0111111
16 fl oz cup,0,0.0138889
22 fl oz cup,0.00943396,0.0180556
12 fl oz cup,0,0.0138889
16 fl oz cup,0,0.0166667
22 fl oz cup,0.00943396,0.0222222
12 fl oz cup,0,0.0111111
16 fl oz cup,0,0.0125
22 fl oz cup,0.00943396,0.0166667
12 fl oz cup,0.188679,0.0444444
16 fl oz cup,0.226415,0.0555556
22 fl oz cup,0.283019,0.0722222
12 fl oz cup,0.188679,0.0444444
16 fl oz cup,0.245283,0.0583333
22 fl oz cup,0.283019,0.0722222
12 fl oz cup,0.188679,0.0666667
16 fl oz cup,0.226415,0.0833333
22 fl oz cup,0.283019,0.105556
16 fl oz cup,0.226415,0.0583333
22 fl oz cup,0.283019,0.0722222
10.9 oz (310 g),0.264151,0.05
16.2 oz (460 g),0.377358,0.0722222
7.3 oz (207 g),0.188679,0.0333333
10.1 oz (285 g),0.169811,0.0777778
13.4 oz (381 g),0.226415,0.105556
6.7 oz (190 g),0.113208,0.0527778
14.2 oz (403 g),0.283019,0.111111
7.1 oz (202 g),0.150943,0.0555556
