Trans Fat,Cholesterol,Sodium
0.0,260,750
0.0,25,770
0.0,45,780
0.0,285,860
0.0,50,880
1.0,300,960
65,0.0,83
68,0.0,83
56,0.0,11
59,0.0,11
0.0,30,1080
0.0,30,1190
0.0,250,1170
0.0,250,1280
0.0,35,1180
0.0,35,1290
0.0,30,1180
0.0,30,1290
1.0,280,1470
44,0.0,84
34,0.0,11
0.0,35,1030
61,0.0,89
52,0.0,17
56,0.5,92
45,0.5,20
63,1.5,99
0.0,555,1560
0.0,555,1680
0.0,35,1590
0.0,35,1700
0.0,575,2150
0.0,575,2260
0.0,55,2170
0.0,55,2290
0.0,20,590
0.0,50,930
0.0,115,790
0.0,0,310
0.0,15,370
0.0,5,160
0.0,5,115
1.0,85,960
1.5,95,1100
1.5,105,1440
1.5,105,1180
1.5,85,960
2.5,160,1280
0.0,30,480
0.5,45,680
1.0,90,1040
1.5,115,1470
1.0,75,840
1.0,90,1110
1.0,80,760
1.0,80,1030
0.0,70,980
0.0,45,990
0.0,65,820
0.0,85,1410
0.0,105,1250
0.0,70,1400
0.0,90,1230
0.5,90,1720
0.0,110,1560
0.0,45,910
0.0,35,800
0.0,65,1260
0.0,50,1260
0.0,35,990
0.5,80,1540
0.0,95,1370
0.5,65,1340
0.5,80,1170
0.5,60,1480
0.0,80,1320
0.0,50,1260
0.0,65,1090
0.0,25,360
0.0,40,540
0.0,65,900
0.0,135,1800
1.0,265,3600
0.0,40,590
0.0,25,300
0.0,70,860
0.0,85,690
0.0,10,150
0.0,50,850
0.0,70,680
0.0,30,780
0.0,40,700
0.0,35,730
0.0,45,650
0.0,40,810
0.0,45,720
0.0,0,130
0.0,0,190
0.0,0,290
0.0,0,65
0.0,0,10
0.0,0,0
0.0,5,70
0.0,0,170
0.0,10,90
0.0,10,135
0.0,5,20
0.0,25,170
0.0,30,150
0.0,25,85
0.0,0,0
0.0,0,5
0.0,0,5
0.0,0,0
0.0,0,10
0.0,0,20
0.0,0,35
0.0,0,15
0.0,0,45
0.0,0,65
0.0,0,90
0.0,0,30
0.0,0,70
0.0,0,100
0.0,0,140
0.0,0,50
0.0,0,30
0.0,0,45
0.0,0,60
0.0,0,25
0.0,10,125
0.0,5,135
0.0,0,15
0.0,0,0
0.0,0,0
0.0,0,5
0.0,0,0
0.0,0,10
0.0,0,10
0.0,0,15
0.0,0,5
0.0,0,10
0.0,0,10
0.0,0,10
0.0,0,5
0.0,0,0
0.0,0,0
0.0,0,0
0.0,25,115
0.0,30,140
0.0,40,180
0.0,25,115
0.0,30,140
0.0,40,180
0.0,25,115
0.0,30,140
0.0,40,180
0.0,25,115
0.0,30,140
0.0,40,190
0.0,25,150
0.0,30,190
0.0,40,240
0.0,5,110
0.0,5,135
0.0,10,180
0.0,5,110
0.0,5,135
0.0,10,180
0.0,5,110
0.0,5,135
0.0,10,180
0.0,5,115
0.0,5,140
0.0,10,180
0.0,5,150
0.0,5,180
0.0,10,240
0.0,35,150
0.0,40,190
0.5,50,240
0.0,15,150
0.0,15,190
0.0,20,240
0.0,35,170
0.5,40,220
0.5,50,270
0.0,15,170
0.0,15,210
0.0,20,270
0.0,40,180
0.5,50,220
0.5,60,280
0.0,15,180
0.0,15,220
0.0,20,280
0.0,15,35
0.0,25,50
0.0,35,75
0.0,15,35
0.0,25,50
0.0,35,65
0.0,15,35
0.0,25,50
0.0,35,75
0.0,15,40
0.0,25,55
0.0,35,80
0.0,15,65
0.0,25,90
0.0,35,135
0.0,35,125
0.0,40,150
0.5,50,220
0.0,20,125
0.0,20,150
0.0,25,220
0.0,35,140
0.0,40,170
0.5,50,250
0.0,20,140
0.0,20,170
0.0,25,250
1.0,65,125
1.0,75,160
1.0,90,190
1.0,65,125
1.0,80,160
1.5,95,190
1.0,65,135
1.0,80,160
1.5,95,200
0.0,5,40
0.0,5,50
0.0,5,65
0.0,5,50
0.0,5,60
0.0,5,80
0.0,5,40
0.0,5,45
0.0,5,60
1.0,60,160
1.0,75,200
1.0,90,260
1.0,60,160
1.0,75,210
1.0,90,260
1.0,60,240
1.0,75,300
1.0,85,380
1.0,75,210
1.0,90,260
0.5,50,180
1.0,75,260
0.0,35,120
0.5,45,280
1.0,55,380
0.0,30,190
1.0,60,400
0.0,30,200
